Model,MAE,MSE,R2
LinearRegression,82657.94605893594,10549721686.16417,0.9146454505137673
RobustRegression,199465.55955429282,61664910393.2493,0.5010881990728193
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,82894.4470624986,10604968516.752438,0.9141984654201617
SGDRegressor,1.7612279019724293e+18,3.1594713800622886e+36,-2.556231000989705e+25
ANN,199344.55871823052,61478494687.892685,0.5025964311400917
RandomForest,98596.40238758501,15061384905.668282,0.8781429727242895
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
